11:11:41.496 > ets Jul 29 2019 12:21:46
11:11:41.497 > 
11:11:41.497 > rst:0x1 (POWERON_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)
11:11:41.502 > configsip: 0, SPIWP:0xee
11:11:41.504 > clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00
11:11:41.510 > mode:DIO, clock div:2
11:11:41.512 > load:0x3fff0030,len:1184
11:11:41.514 > load:0x40078000,len:13232
11:11:41.518 > load:0x40080400,len:3028
11:11:41.519 > entry 0x400805e4
11:11:42.658 > Presence,Fall_State,Distance_dm,Raw_Hex
11:11:42.662 > 1,49,0,53 59 80 03 00 01 01 31 54 43 
11:11:43.000 > 1,49,0,53 59 80 03 00 01 01 31 54 43 
11:11:43.994 > 1,49,0,53 59 80 03 00 01 01 31 54 43 
11:11:45.008 > 1,49,0,53 59 80 03 00 01 01 31 54 43 
11:11:45.983 > 1,49,0,53 59 80 03 00 01 01 31 54 43 
11:11:46.977 > 1,49,0,53 59 80 03 00 01 01 31 54 43 
11:11:47.971 > 1,49,0,53 59 80 03 00 01 01 31 54 43 
11:11:48.968 > 1,49,0,53 59 80 03 00 01 01 31 54 43 
11:11:49.361 > 2,49,0,53 59 80 02 00 01 02 31 54 43 
11:11:49.959 > 11,59,0,53 59 80 03 00 01 0B 3B 54 43 
11:11:50.953 > 5,53,0,53 59 80 03 00 01 05 35 54 43 
11:11:51.947 > 2,50,0,53 59 80 03 00 01 02 32 54 43 
11:11:52.941 > 2,50,0,53 59 80 03 00 01 02 32 54 43 
11:11:53.947 > 9,57,0,53 59 80 03 00 01 09 39 54 43 
11:11:54.928 > 19,67,0,53 59 80 03 00 01 13 43 54 43 
11:11:55.923 > 95,143,0,53 59 80 03 00 01 5F 8F 54 43 
11:11:56.917 > 2,50,0,53 59 80 03 00 01 02 32 54 43 
11:11:57.911 > 2,50,0,53 59 80 03 00 01 02 32 54 43 
11:11:58.927 > 100,148,0,53 59 80 03 00 01 64 94 54 43 
11:11:59.899 > 63,111,0,53 59 80 03 00 01 3F 6F 54 43 
11:12:00.893 > 100,148,0,53 59 80 03 00 01 64 94 54 43 
11:12:01.888 > 100,148,0,53 59 80 03 00 01 64 94 54 43 
11:12:02.888 > 100,148,0,53 59 80 03 00 01 64 94 54 43 
11:12:03.875 > 2,50,0,53 59 80 03 00 01 02 32 54 43 
11:12:04.018 > 2,50,0,53 59 01 01 00 01 0F BE 54 43 
11:12:04.869 > 2,50,0,53 59 80 03 00 01 02 32 54 43 
11:12:05.863 > 2,50,0,53 59 80 03 00 01 02 32 54 43 
11:12:06.858 > 2,50,0,53 59 80 03 00 01 02 32 54 43 
11:12:07.867 > 2,50,0,53 59 80 03 00 01 02 32 54 43 
11:12:08.845 > 2,50,0,53 59 80 03 00 01 02 32 54 43 
11:12:09.641 > 1,48,0,53 59 80 02 00 01 01 30 54 43 
11:12:09.839 > 1,49,0,53 59 80 03 00 01 01 31 54 43 
11:12:10.833 > 1,49,0,53 59 80 03 00 01 01 31 54 43 
11:12:11.728 > 2,49,0,53 59 80 02 00 01 02 31 54 43 
11:12:11.828 > 44,92,0,53 59 80 03 00 01 2C 5C 54 43 
11:12:12.844 > 2,50,0,53 59 80 03 00 01 02 32 54 43 
11:12:13.816 > 2,50,0,53 59 80 03 00 01 02 32 54 43 
11:12:14.809 > 2,50,0,53 59 80 03 00 01 02 32 54 43 
11:12:15.804 > 100,148,0,53 59 80 03 00 01 64 94 54 43 
11:12:16.806 > 100,148,0,53 59 80 03 00 01 64 94 54 43 
11:12:17.791 > 39,87,0,53 59 80 03 00 01 27 57 54 43 
11:12:18.784 > 2,50,0,53 59 80 03 00 01 02 32 54 43 
11:12:19.779 > 12,60,0,53 59 80 03 00 01 0C 3C 54 43 
11:12:20.773 > 2,50,0,53 59 80 03 00 01 02 32 54 43 
11:12:21.783 > 18,66,0,53 59 80 03 00 01 12 42 54 43 
11:12:22.762 > 38,86,0,53 59 80 03 00 01 26 56 54 43 
11:12:23.755 > 4,52,0,53 59 80 03 00 01 04 34 54 43 
11:12:24.748 > 5,53,0,53 59 80 03 00 01 05 35 54 43 
11:12:25.744 > 5,53,0,53 59 80 03 00 01 05 35 54 43 
11:12:26.736 > 28,76,0,53 59 80 03 00 01 1C 4C 54 43 
11:12:27.729 > 2,50,0,53 59 80 03 00 01 02 32 54 43 
11:12:28.724 > 2,50,0,53 59 80 03 00 01 02 32 54 43 
11:12:29.718 > 45,93,0,53 59 80 03 00 01 2D 5D 54 43 
11:12:30.723 > 9,57,0,53 59 80 03 00 01 09 39 54 43 
11:12:31.706 > 100,148,0,53 59 80 03 00 01 64 94 54 43 
11:12:32.700 > 100,148,0,53 59 80 03 00 01 64 94 54 43 
11:12:33.694 > 6,54,0,53 59 80 03 00 01 06 36 54 43 
11:12:34.687 > 2,50,0,53 59 80 03 00 01 02 32 54 43 
11:12:35.702 > 13,61,0,53 59 80 03 00 01 0D 3D 54 43 
11:12:36.675 > 68,116,0,53 59 80 03 00 01 44 74 54 43 
11:12:37.669 > 2,50,0,53 59 80 03 00 01 02 32 54 43 
11:12:38.662 > 59,107,0,53 59 80 03 00 01 3B 6B 54 43 
11:12:39.662 > 5,53,0,53 59 80 03 00 01 05 35 54 43 
11:12:40.651 > 29,77,0,53 59 80 03 00 01 1D 4D 54 43 
