11:54:09.444 > ets Jul 29 2019 12:21:46
11:54:09.447 > 
11:54:09.447 > rst:0x1 (POWERON_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)
11:54:09.451 > configsip: 0, SPIWP:0xee
11:54:09.454 > clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00
11:54:09.460 > mode:DIO, clock div:2
11:54:09.463 > load:0x3fff0030,len:1184
11:54:09.465 > load:0x40078000,len:13232
11:54:09.467 > load:0x40080400,len:3028
11:54:09.469 > entry 0x400805e4
11:54:10.609 > Presence,Fall_State,Distance_dm,Intensity,Breath_Rate,Heart_Rate,Raw_Hex
11:54:10.616 > 2,50,0,0,0,0,53 59 80 03 00 01 02 32 54 43 
11:54:10.945 > 13,61,0,0,0,0,53 59 80 03 00 01 0D 3D 54 43 
11:54:11.938 > 2,50,0,0,0,0,53 59 80 03 00 01 02 32 54 43 
11:54:12.931 > 2,50,0,0,0,0,53 59 80 03 00 01 02 32 54 43 
11:54:13.924 > 2,50,0,0,0,0,53 59 80 03 00 01 02 32 54 43 
11:54:14.935 > 23,71,0,0,0,0,53 59 80 03 00 01 17 47 54 43 
11:54:15.910 > 24,72,0,0,0,0,53 59 80 03 00 01 18 48 54 43 
11:54:16.903 > 5,53,0,0,0,0,53 59 80 03 00 01 05 35 54 43 
11:54:17.897 > 10,58,0,0,0,0,53 59 80 03 00 01 0A 3A 54 43 
11:54:18.894 > 2,50,0,0,0,0,53 59 80 03 00 01 02 32 54 43 
11:54:19.883 > 6,54,0,0,0,0,53 59 80 03 00 01 06 36 54 43 
11:54:20.876 > 3,51,0,0,0,0,53 59 80 03 00 01 03 33 54 43 
11:54:21.869 > 8,56,0,0,0,0,53 59 80 03 00 01 08 38 54 43 
11:54:22.863 > 3,51,0,0,0,0,53 59 80 03 00 01 03 33 54 43 
11:54:23.873 > 2,50,0,0,0,0,53 59 80 03 00 01 02 32 54 43 
11:54:24.849 > 19,67,0,0,0,0,53 59 80 03 00 01 13 43 54 43 
11:54:25.843 > 23,71,0,0,0,0,53 59 80 03 00 01 17 47 54 43 
11:54:26.836 > 27,75,0,0,0,0,53 59 80 03 00 01 1B 4B 54 43 
