presence,movement,movingRange,distance_cm,seatedDist_cm,motionDist_cm,trackX,trackY,fallState,staticDwell,heightDuration,accumulatedHeight
1,2,30,0,200,300,53,1280,0,0,70,3
1,2,2,0,200,300,4,0,0,0,70,3
1,2,3,0,200,300,4,0,0,0,70,3
1,1,1,0,200,300,2,12850,0,0,70,3
1,2,13,0,200,300,22,2304,0,0,70,3
1,2,2,0,200,300,45,1542,0,0,70,3
1,2,2,0,200,300,55,0,0,0,70,3
1,2,54,0,200,300,246,515,0,0,70,3
1,2,44,0,200,300,201,0,0,0,70,3
1,2,2,0,200,300,0,0,0,0,70,3
1,1,3,0,200,300,6,0,0,0,70,3
1,2,2,0,200,300,33,20245,0,0,70,3
1,1,1,0,200,300,0,0,0,0,70,3
1,2,2,0,200,300,2,50,0,0,70,3
1,2,2,0,200,300,11,0,0,0,70,3
1,2,2,0,200,300,16,0,0,0,70,3
1,1,1,0,200,300,1,25600,0,0,70,3
